Tri-State College of Acupuncture|80 Eighth Ave Rm 400|New York|NY|10011
Vaughn College of Aeronautics and Technology|86-01 23rd Avenue|Flushing|NY|11369
Adelphi University|South Ave|Garden City|NY|11530
Adirondack Community College|640 Bay Rd|Queensbury|NY|12804
Globe Institute of Technology|291 Broadway|New York|NY|10007
Albany College of Pharmacy|106 New Scotland Avenue|Albany|NY|12208
Albany Law School|80 New Scotland Avenue|Albany|NY|12208
Albany Medical College|47 New Scotland Ave|Albany|NY|12208
Alfred University|One Saxon Dr|Alfred|NY|14802
The Ailey School|405 West 55th Street|New York|NY|10019
American Academy of Dramatic Arts|120 Madison Ave|New York|NY|10016
American Academy McAllister Institute of Funeral Services|619 West 54th Street - 6th Floor|New York|NY|10019
Joffrey Ballet School - American Ballet Center|434 Avenue of the Americas|New York|NY|10011
American Musical and Dramatic Academy - New York|211 West 61st Street|New York|NY|10023
Apex Technical School|635 Ave of the Americas|New York|NY|10011
Arnot Ogden Medical Center|600 Roe Avenue|Elmira|NY|14905
Arnot Ogden Medical Center School of Radiologic Technology|600 Roe Avenue|Elmira|NY|14905
Associated Beth Rivkah Schools|310 Crown St|Brooklyn|NY|11225
Austin's School of Spa Technology|855 Central Ave|Albany|NY|12206
Bank Street College of Education|610 W 112 St|New York|NY|10025
Bard College|30 Campus Road|Annandale-On-Hudson|NY|12504
Barnard College|3009 Broadway|New York|NY|10027
Berk Trade and Business School|383 Pearl St 5th Floor|Brooklyn|NY|11201
Berkeley College|3 East 43 Street|New York|NY|10017
Beth HaTalmud Rabbinical College|2127 82nd Street|Brooklyn|NY|11214
Beth Hamedrash Shaarei Yosher Institute|4102 16th Ave|Brooklyn|NY|11204
Hair Design Institute at Fifth Avenue|375 86th Street|Brooklyn|NY|11209
Boricua College|3755 Broadway|New York|NY|10032
Bramson ORT College|69-30 Austin St|Forest Hills|NY|11375
Briarcliffe College|1055 Stewart Ave|Bethpage|NY|11714
Brittany Beauty School|2981hempstead Tpk|Levittown|NY|11756
American Beauty School|1380 Metropolitan Avenue|Bronx|NY|10462
Brooklyn Law School|250 Joralemon St|Brooklyn|NY|11201
Broome Community College|Upper Front Street, P.O. Box 1017|Binghamton|NY|13902
Bryant and Stratton College - Amherst Campus|40 Hazelwood Drive|Amherst|NY|14228
Bryant and Stratton College - Syracuse North Campus|8687 Carling Rd|Liverpool|NY|13090
Bryant and Stratton College - Buffalo Campus|465 Main Street, Suite 400|Buffalo|NY|14203
Business Informatics Center Inc|134 S Central Ave|Valley Stream|NY|11580
Canisius College|2001 Main St|Buffalo|NY|14208
